geo_type,region,transportation_type,alternative_name,sub_region,country,date,relative_mobility
city,Columbia,driving,NA,South Carolina,United States,2020-01-13,100
city,Columbia,driving,NA,South Carolina,United States,2020-01-14,102.64
city,Columbia,driving,NA,South Carolina,United States,2020-01-15,107.02
city,Columbia,driving,NA,South Carolina,United States,2020-01-16,115.48
city,Columbia,driving,NA,South Carolina,United States,2020-01-17,128.55
city,Columbia,driving,NA,South Carolina,United States,2020-01-18,112.31
city,Columbia,driving,NA,South Carolina,United States,2020-01-19,82.73
city,Columbia,driving,NA,South Carolina,United States,2020-01-20,98.52
city,Columbia,driving,NA,South Carolina,United States,2020-01-21,99.13
city,Columbia,driving,NA,South Carolina,United States,2020-01-22,100.77
city,Columbia,driving,NA,South Carolina,United States,2020-01-23,109.54
city,Columbia,driving,NA,South Carolina,United States,2020-01-24,121.21
city,Columbia,driving,NA,South Carolina,United States,2020-01-25,116.96
city,Columbia,driving,NA,South Carolina,United States,2020-01-26,78.88
city,Columbia,driving,NA,South Carolina,United States,2020-01-27,95.2
city,Columbia,driving,NA,South Carolina,United States,2020-01-28,100
city,Columbia,driving,NA,South Carolina,United States,2020-01-29,102.72
city,Columbia,driving,NA,South Carolina,United States,2020-01-30,115.28
city,Columbia,driving,NA,South Carolina,United States,2020-01-31,124.96
city,Columbia,driving,NA,South Carolina,United States,2020-02-01,122.47
city,Columbia,driving,NA,South Carolina,United States,2020-02-02,84.64
city,Columbia,driving,NA,South Carolina,United States,2020-02-03,99.47
city,Columbia,driving,NA,South Carolina,United States,2020-02-04,104.53
city,Columbia,driving,NA,South Carolina,United States,2020-02-05,105.19
city,Columbia,driving,NA,South Carolina,United States,2020-02-06,96.14
city,Columbia,driving,NA,South Carolina,United States,2020-02-07,129.12
city,Columbia,driving,NA,South Carolina,United States,2020-02-08,121.18
city,Columbia,driving,NA,South Carolina,United States,2020-02-09,87.51
city,Columbia,driving,NA,South Carolina,United States,2020-02-10,104.99
city,Columbia,driving,NA,South Carolina,United States,2020-02-11,111.1
city,Columbia,driving,NA,South Carolina,United States,2020-02-12,111.49
city,Columbia,driving,NA,South Carolina,United States,2020-02-13,124.28
city,Columbia,driving,NA,South Carolina,United States,2020-02-14,153.77
city,Columbia,driving,NA,South Carolina,United States,2020-02-15,128.86
city,Columbia,driving,NA,South Carolina,United States,2020-02-16,88.41
city,Columbia,driving,NA,South Carolina,United States,2020-02-17,106.18
city,Columbia,driving,NA,South Carolina,United States,2020-02-18,107.79
city,Columbia,driving,NA,South Carolina,United States,2020-02-19,117.05
city,Columbia,driving,NA,South Carolina,United States,2020-02-20,111.62
city,Columbia,driving,NA,South Carolina,United States,2020-02-21,137.49
city,Columbia,driving,NA,South Carolina,United States,2020-02-22,132.27
city,Columbia,driving,NA,South Carolina,United States,2020-02-23,89.78
city,Columbia,driving,NA,South Carolina,United States,2020-02-24,99.81
city,Columbia,driving,NA,South Carolina,United States,2020-02-25,110.45
city,Columbia,driving,NA,South Carolina,United States,2020-02-26,113.43
city,Columbia,driving,NA,South Carolina,United States,2020-02-27,122.37
city,Columbia,driving,NA,South Carolina,United States,2020-02-28,154.26
city,Columbia,driving,NA,South Carolina,United States,2020-02-29,157.21
city,Columbia,driving,NA,South Carolina,United States,2020-03-01,100.58
city,Columbia,driving,NA,South Carolina,United States,2020-03-02,107.41
city,Columbia,driving,NA,South Carolina,United States,2020-03-03,110.04
city,Columbia,driving,NA,South Carolina,United States,2020-03-04,112.77
city,Columbia,driving,NA,South Carolina,United States,2020-03-05,116.79
city,Columbia,driving,NA,South Carolina,United States,2020-03-06,152.7
city,Columbia,driving,NA,South Carolina,United States,2020-03-07,142
city,Columbia,driving,NA,South Carolina,United States,2020-03-08,88.84
city,Columbia,driving,NA,South Carolina,United States,2020-03-09,102.63
city,Columbia,driving,NA,South Carolina,United States,2020-03-10,105.91
city,Columbia,driving,NA,South Carolina,United States,2020-03-11,108.84
city,Columbia,driving,NA,South Carolina,United States,2020-03-12,112.6
city,Columbia,driving,NA,South Carolina,United States,2020-03-13,124.62
city,Columbia,driving,NA,South Carolina,United States,2020-03-14,110.48
city,Columbia,driving,NA,South Carolina,United States,2020-03-15,76.06
city,Columbia,driving,NA,South Carolina,United States,2020-03-16,88.85
city,Columbia,driving,NA,South Carolina,United States,2020-03-17,80.76
city,Columbia,driving,NA,South Carolina,United States,2020-03-18,76.34
city,Columbia,driving,NA,South Carolina,United States,2020-03-19,77.99
city,Columbia,driving,NA,South Carolina,United States,2020-03-20,83.37
city,Columbia,driving,NA,South Carolina,United States,2020-03-21,69.52
city,Columbia,driving,NA,South Carolina,United States,2020-03-22,47.38
city,Columbia,driving,NA,South Carolina,United States,2020-03-23,58.99
city,Columbia,driving,NA,South Carolina,United States,2020-03-24,57.74
city,Columbia,driving,NA,South Carolina,United States,2020-03-25,64.14
city,Columbia,driving,NA,South Carolina,United States,2020-03-26,64.87
city,Columbia,driving,NA,South Carolina,United States,2020-03-27,74.19
city,Columbia,driving,NA,South Carolina,United States,2020-03-28,63.86
city,Columbia,driving,NA,South Carolina,United States,2020-03-29,45.06
city,Columbia,driving,NA,South Carolina,United States,2020-03-30,58.76
city,Columbia,driving,NA,South Carolina,United States,2020-03-31,56.5
city,Columbia,driving,NA,South Carolina,United States,2020-04-01,59.32
city,Columbia,driving,NA,South Carolina,United States,2020-04-02,61.25
city,Columbia,driving,NA,South Carolina,United States,2020-04-03,69.61
city,Columbia,driving,NA,South Carolina,United States,2020-04-04,57.96
city,Columbia,driving,NA,South Carolina,United States,2020-04-05,44.43
city,Columbia,driving,NA,South Carolina,United States,2020-04-06,61.42
city,Columbia,driving,NA,South Carolina,United States,2020-04-07,58.45
city,Columbia,driving,NA,South Carolina,United States,2020-04-08,56.68
city,Columbia,driving,NA,South Carolina,United States,2020-04-09,62.74
city,Columbia,driving,NA,South Carolina,United States,2020-04-10,67.63
city,Columbia,driving,NA,South Carolina,United States,2020-04-11,58.01
city,Columbia,driving,NA,South Carolina,United States,2020-04-12,35.61
city,Columbia,driving,NA,South Carolina,United States,2020-04-13,62.41
city,Columbia,driving,NA,South Carolina,United States,2020-04-14,67.7
city,Columbia,driving,NA,South Carolina,United States,2020-04-15,70.87
city,Columbia,driving,NA,South Carolina,United States,2020-04-16,72.53
city,Columbia,driving,NA,South Carolina,United States,2020-04-17,81.91
city,Columbia,driving,NA,South Carolina,United States,2020-04-18,71.79
city,Columbia,driving,NA,South Carolina,United States,2020-04-19,49.92
city,Columbia,driving,NA,South Carolina,United States,2020-04-20,70.27
city,Columbia,driving,NA,South Carolina,United States,2020-04-21,74.58
city,Columbia,driving,NA,South Carolina,United States,2020-04-22,75.63
city,Columbia,driving,NA,South Carolina,United States,2020-04-23,71.84
city,Columbia,driving,NA,South Carolina,United States,2020-04-24,87.37
city,Columbia,driving,NA,South Carolina,United States,2020-04-25,78.68
city,Columbia,driving,NA,South Carolina,United States,2020-04-26,60.87
city,Columbia,driving,NA,South Carolina,United States,2020-04-27,77.8
city,Columbia,driving,NA,South Carolina,United States,2020-04-28,81.56
city,Columbia,driving,NA,South Carolina,United States,2020-04-29,80.77
city,Columbia,driving,NA,South Carolina,United States,2020-04-30,86.15
city,Columbia,driving,NA,South Carolina,United States,2020-05-01,97.74
city,Columbia,driving,NA,South Carolina,United States,2020-05-02,88.23
city,Columbia,driving,NA,South Carolina,United States,2020-05-03,68.49
city,Columbia,driving,NA,South Carolina,United States,2020-05-04,87.23
city,Columbia,driving,NA,South Carolina,United States,2020-05-05,89.67
city,Columbia,driving,NA,South Carolina,United States,2020-05-06,92.8
city,Columbia,driving,NA,South Carolina,United States,2020-05-07,97.08
city,Columbia,driving,NA,South Carolina,United States,2020-05-08,107.29
city,Columbia,driving,NA,South Carolina,United States,2020-05-09,103.18
city,Columbia,driving,NA,South Carolina,United States,2020-05-10,72.95
city,Columbia,driving,NA,South Carolina,United States,2020-05-11,NA
city,Columbia,driving,NA,South Carolina,United States,2020-05-12,NA
city,Columbia,driving,NA,South Carolina,United States,2020-05-13,103.04
city,Columbia,driving,NA,South Carolina,United States,2020-05-14,109.23
city,Columbia,driving,NA,South Carolina,United States,2020-05-15,124.72
city,Columbia,driving,NA,South Carolina,United States,2020-05-16,114.21
city,Columbia,driving,NA,South Carolina,United States,2020-05-17,89.28
city,Columbia,driving,NA,South Carolina,United States,2020-05-18,104.67
city,Columbia,driving,NA,South Carolina,United States,2020-05-19,106.83
city,Columbia,driving,NA,South Carolina,United States,2020-05-20,105.09
city,Columbia,driving,NA,South Carolina,United States,2020-05-21,118.1
city,Columbia,driving,NA,South Carolina,United States,2020-05-22,134.93
city,Columbia,driving,NA,South Carolina,United States,2020-05-23,124.83
city,Columbia,driving,NA,South Carolina,United States,2020-05-24,89.15
city,Columbia,driving,NA,South Carolina,United States,2020-05-25,92.97
city,Columbia,driving,NA,South Carolina,United States,2020-05-26,111.88
city,Columbia,driving,NA,South Carolina,United States,2020-05-27,107.89
